Customer ID,Recommended_Products
CUST_0102,"Auto Loan, Peer Transfer Wallet, Essential Spending Card"
CUST_0103,"Rewards Credit Card, Supermarket Cashback Card, Dining Rewards Card"
CUST_0104,"Lifestyle Credit Card, Rewards Credit Card, Peer Transfer Wallet"
CUST_0105,"Essential Spending Card, Rewards Credit Card, Health Insurance"
CUST_0106,"Auto Loan, Wellness Insurance, Lifestyle Credit Card"
CUST_0107,"Dining Rewards Card, Premium Savings Account, Wellness Insurance"
CUST_0108,"Essential Spending Card, Health Insurance, Rewards Credit Card"
CUST_0109,"Lifestyle Credit Card, Peer Transfer Wallet, Travel Credit Card"
CUST_0110,"Wellness Insurance, Health Insurance, Rewards Credit Card"
CUST_0111,"Wellness Insurance, Auto Loan, Peer Transfer Wallet"
CUST_0112,"Peer Transfer Wallet, Dining Rewards Card, Travel Credit Card"
CUST_0113,"Health Insurance, Cashback Credit Card, Travel Credit Card"
CUST_0114,"Travel Credit Card, Essential Spending Card, Home Loan"
CUST_0115,"Dining Rewards Card, Travel Credit Card, Peer Transfer Wallet"
CUST_0116,"Home Loan, Peer Transfer Wallet, Essential Spending Card"
CUST_0117,"Travel Credit Card, Dining Rewards Card, Rewards Credit Card"
CUST_0118,"Health Insurance, Essential Spending Card, Wellness Insurance"
CUST_0119,"Essential Spending Card, Health Insurance, Wellness Insurance"
CUST_0120,"Wellness Insurance, Premium Savings Account, Home Loan"
CUST_0121,"Travel Credit Card, Premium Savings Account, Essential Spending Card"
CUST_0122,"Rewards Credit Card, Premium Savings Account, Travel Credit Card"
CUST_0123,"Travel Credit Card, Wellness Insurance, Health Insurance"
CUST_0124,"Premium Savings Account, Essential Spending Card, Supermarket Cashback Card"
CUST_0125,"Essential Spending Card, Rewards Credit Card, Peer Transfer Wallet"
CUST_0126,"Travel Credit Card, Wellness Insurance, Rewards Credit Card"
CUST_0127,"Home Loan, Health Insurance, Rewards Credit Card"
CUST_0128,"Wellness Insurance, Health Insurance, Rewards Credit Card"
CUST_0129,"Rewards Credit Card, Home Loan, Lifestyle Credit Card"
CUST_0130,"Wellness Insurance, Supermarket Cashback Card, Essential Spending Card"
CUST_0131,"Auto Loan, Rewards Credit Card, Wellness Insurance"
CUST_0132,"Premium Savings Account, Home Loan, Travel Credit Card"
CUST_0133,"Wellness Insurance, Auto Loan, Peer Transfer Wallet"
CUST_0134,"Peer Transfer Wallet, Lifestyle Credit Card, Premium Savings Account"
CUST_0135,"Auto Loan, Premium Savings Account, Lifestyle Credit Card"
CUST_0136,"Rewards Credit Card, Cashback Credit Card, Auto Loan"
CUST_0137,"Travel Credit Card, Peer Transfer Wallet, Supermarket Cashback Card"
CUST_0138,"Cashback Credit Card, Travel Credit Card, Health Insurance"
CUST_0139,"Travel Credit Card, Peer Transfer Wallet, Health Insurance"
CUST_0140,"Rewards Credit Card, Supermarket Cashback Card, Peer Transfer Wallet"
CUST_0141,"Lifestyle Credit Card, Health Insurance, Wellness Insurance"
CUST_0142,"Health Insurance, Essential Spending Card, Rewards Credit Card"
CUST_0143,"Auto Loan, Travel Credit Card, Lifestyle Credit Card"
CUST_0144,"Wellness Insurance, Home Loan, Rewards Credit Card"
CUST_0145,"Essential Spending Card, Wellness Insurance, Peer Transfer Wallet"
CUST_0146,"Supermarket Cashback Card, Travel Credit Card, Essential Spending Card"
CUST_0147,"Lifestyle Credit Card, Essential Spending Card, Cashback Credit Card"
CUST_0148,"Wellness Insurance, Lifestyle Credit Card, Rewards Credit Card"
CUST_0149,"Supermarket Cashback Card, Wellness Insurance, Cashback Credit Card"
CUST_0150,"Premium Savings Account, Wellness Insurance, Dining Rewards Card"
CUST_0151,"Health Insurance, Peer Transfer Wallet, Premium Savings Account"
CUST_0152,"Travel Credit Card, Premium Savings Account, Auto Loan"
CUST_0153,"Health Insurance, Rewards Credit Card, Wellness Insurance"
CUST_0154,"Wellness Insurance, Auto Loan, Rewards Credit Card"
CUST_0155,"Home Loan, Travel Credit Card, Lifestyle Credit Card"
CUST_0156,"Health Insurance, Peer Transfer Wallet, Lifestyle Credit Card"
CUST_0157,"Dining Rewards Card, Peer Transfer Wallet, Premium Savings Account"
CUST_0158,"Lifestyle Credit Card, Dining Rewards Card, Peer Transfer Wallet"
CUST_0159,"Travel Credit Card, Essential Spending Card, Health Insurance"
CUST_0160,"Auto Loan, Health Insurance, Essential Spending Card"
CUST_0161,"Peer Transfer Wallet, Supermarket Cashback Card, Travel Credit Card"
CUST_0162,"Premium Savings Account, Wellness Insurance, Health Insurance"
CUST_0163,"Travel Credit Card, Supermarket Cashback Card, Rewards Credit Card"
CUST_0164,"Auto Loan, Rewards Credit Card, Health Insurance"
CUST_0165,"Health Insurance, Dining Rewards Card, Peer Transfer Wallet"
CUST_0166,"Supermarket Cashback Card, Essential Spending Card, Premium Savings Account"
CUST_0167,"Lifestyle Credit Card, Peer Transfer Wallet, Dining Rewards Card"
CUST_0168,"Home Loan, Peer Transfer Wallet, Wellness Insurance"
CUST_0169,"Dining Rewards Card, Rewards Credit Card, Wellness Insurance"
CUST_0170,"Auto Loan, Rewards Credit Card, Wellness Insurance"
CUST_0171,"Travel Credit Card, Rewards Credit Card, Wellness Insurance"
CUST_0172,"Auto Loan, Lifestyle Credit Card, Essential Spending Card"
CUST_0173,"Lifestyle Credit Card, Dining Rewards Card, Peer Transfer Wallet"
CUST_0174,"Peer Transfer Wallet, Lifestyle Credit Card, Wellness Insurance"
CUST_0175,"Auto Loan, Travel Credit Card, Peer Transfer Wallet"
CUST_0176,"Auto Loan, Cashback Credit Card, Peer Transfer Wallet"
CUST_0177,"Health Insurance, Dining Rewards Card, Supermarket Cashback Card"
CUST_0178,"Peer Transfer Wallet, Essential Spending Card, Wellness Insurance"
CUST_0179,"Travel Credit Card, Rewards Credit Card, Premium Savings Account"
CUST_0180,"Travel Credit Card, Rewards Credit Card, Essential Spending Card"
CUST_0181,"Essential Spending Card, Auto Loan, Peer Transfer Wallet"
CUST_0182,"Wellness Insurance, Auto Loan, Travel Credit Card"
CUST_0183,"Auto Loan, Wellness Insurance, Lifestyle Credit Card"
CUST_0184,"Rewards Credit Card, Auto Loan, Wellness Insurance"
CUST_0185,"Rewards Credit Card, Dining Rewards Card, Premium Savings Account"
CUST_0186,"Auto Loan, Rewards Credit Card, Lifestyle Credit Card"
CUST_0187,"Peer Transfer Wallet, Dining Rewards Card, Premium Savings Account"
CUST_0188,"Cashback Credit Card, Peer Transfer Wallet, Home Loan"
CUST_0189,"Travel Credit Card, Home Loan, Peer Transfer Wallet"
CUST_0190,"Dining Rewards Card, Auto Loan, Peer Transfer Wallet"
CUST_0191,"Cashback Credit Card, Travel Credit Card, Essential Spending Card"
CUST_0192,"Travel Credit Card, Peer Transfer Wallet, Wellness Insurance"
CUST_0193,"Rewards Credit Card, Travel Credit Card, Cashback Credit Card"
CUST_0194,"Peer Transfer Wallet, Wellness Insurance, Health Insurance"
CUST_0195,"Wellness Insurance, Peer Transfer Wallet, Auto Loan"
CUST_0196,"Cashback Credit Card, Dining Rewards Card, Health Insurance"
CUST_0197,"Auto Loan, Peer Transfer Wallet, Essential Spending Card"
CUST_0198,"Rewards Credit Card, Health Insurance, Wellness Insurance"
CUST_0199,"Auto Loan, Premium Savings Account, Supermarket Cashback Card"
CUST_0200,"Lifestyle Credit Card, Rewards Credit Card, Auto Loan"
